30,50,70,90,110,130,150,170,190,210,230,250
64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
128,192,192,192,192,192,192,256,256,256,256,256
128,192,192,192,192,192,192,256,256,256,256,256
256,320,384,384,384,448,448,448,448,448,448,448
966.4,1049.6,1299.2,1408.0,1440.0,1433.6,1510.4,1542.4,1536.0,1612.8,1664.0,1734.4
